SubjectID,LabVisit,File,DateTime,TrialID,ActivityClass,Axis1,Axis2,Axis3
1000,1,1000_V1R3XP_4,1/27/2011 15:30:00.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:01.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:02.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:03.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:04.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:05.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:06.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:07.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:08.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:09.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:10.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:11.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:12.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:13.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:14.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:15.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:16.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:17.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:18.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:19.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:20.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:21.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:22.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:23.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:24.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:25.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:26.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:27.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:28.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:29.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:30.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:31.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:32.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:33.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:34.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:35.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:36.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:37.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:38.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:39.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:40.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:41.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:42.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:43.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:44.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:45.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:46.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:47.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:48.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:49.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:50.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:51.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:52.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:53.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:54.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:55.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:56.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:57.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:58.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:30:59.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:00.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:01.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:02.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:03.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:04.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:05.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:06.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:07.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:08.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:09.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:10.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:11.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:12.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:13.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:14.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:15.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:16.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:17.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:18.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:19.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:20.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:21.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:22.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:23.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:24.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:25.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:26.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:27.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:28.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:29.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:30.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:31.000,0,unknown,0,0,0
1000,1,1000_V1R3XP_4,1/27/2011 15:31:32.000,0,unknown,0,0,0
